a	b	p	n
2475725	5292133	21160001	17563366
16852632	6386663	21313729	17563366
16497118	14126270	157189699	17563366
4158613	14108322	114304343	17563366
14481536	17419580	40481569	17563366
12529707	6627396	92907847	17563366
4382043	864233	104423959	17563366
9894062	14164034	62977633	17563366
6207133	16215055	79448713	17563366
14745952	8211329	68072923	17563366
13169215	12375503	66302167	17563366
6086267	4571335	116783959	17563366
15190171	16115206	156177643	17563366
7171408	14382225	118840349	17563366
3834394	14171352	40973561	17563366
3200010	6443887	124889887	17563366
9045232	12676252	114419057	17563366
1880111	7954447	163199093	17563366
461738	4662235	68649103	17563366
2051696	1254548	84142547	17563366
13770842	16762791	78692819	17563366
4657953	12706279	150489259	17563366
5838521	7897398	108553469	17563366
7728859	5452583	124298261	17563366
16710788	9412431	27099599	17563366
16893439	11136574	141996749	17563366
16572756	1162650	112578749	17563366
4304201	2878950	21139009	17563366
14503600	2540339	85458047	17563366
1125712	12860319	21704677	17563366
9603232	9788853	100732517	17563366
13345227	12455140	147048227	17563366
4817752	4227965	105213223	17563366
479254	15601837	140791597	17563366
4061840	963082	97691183	17563366
13207277	2137184	70868587	17563366
12796505	13500654	118102753	17563366
14461904	6835353	87756037	17563366
10693798	6727462	173809681	17563366
2843434	15697057	58790033	17563366
17056943	10733574	150519461	17563366
2319470	43460	41541233	17563366
9848764	9081870	165682469	17563366
2064884	5997344	58767083	17563366
12032632	11136263	34309439	17563366
14392477	14783641	134789197	17563366
13660251	3646611	86398019	17563366
82818	7350471	35710837	17563366
3687902	17527078	50064851	17563366
2937894	12599811	43707913	17563366
13029867	13144130	80016199	17563366
8325860	8495828	36275111	17563366
4742640	6673413	92168581	17563366
1182689	17478791	86010091	17563366
10973729	6141238	86877683	17563366
10515905	12451445	141118291	17563366
5317197	4070188	60195917	17563366
15974958	12935711	114736691	17563366
7144098	3643005	102031759	17563366
9924255	7664230	108252383	17563366
5365744	9787733	158969081	17563366
14182339	13904140	125977909	17563366
6085556	16074000	169054091	17563366
14975924	2745845	129779873	17563366
2035669	2020620	91084171	17563366
659658	15662524	79118461	17563366
11266749	11992173	131021857	17563366
12210436	1103113	171736681	17563366
10899789	5120424	72450041	17563366
9959754	5562856	71148767	17563366
5461128	11681828	119091059	17563366
9310817	15789337	133578413	17563366
1154670	2705827	34937423	17563366
4598610	3457964	167407481	17563366
211881	8359773	131998289	17563366
7774255	4707690	166961551	17563366
6493976	8988544	150886321	17563366
10024406	12108608	99558847	17563366
5622296	16470885	74392727	17563366
6814604	15201025	149935271	17563366
11993215	2877991	63048239	17563366
2267400	13010089	86813521	17563366
17041263	7244403	61497763	17563366
4254216	517473	61851733	17563366
447138	12952169	43482041	17563366
10572837	17382290	122394427	17563366
17427841	15045338	155533201	17563366
8396798	16941891	34041283	17563366
12757293	17455970	79920329	17563366
15372975	10681042	89816137	17563366
8812477	11369178	166854997	17563366
9686050	3186791	53684471	17563366
3952439	13669727	33784529	17563366
14037798	1735516	118426549	17563366
5776629	11985080	76134173	17563366
7382111	1852076	85573493	17563366
6903128	14801491	24388157	17563366
15221187	1159465	175507039	17563366
2435518	12461507	107547919	17563366
12142482	6579341	67959127	17563366
12058142	11874371	44899733	17563366
1099939	6062329	68849917	17563366
17064773	9017905	90783857	17563366
11043716	5568440	37015997	17563366
16429621	1551472	27177019	17563366
9930939	15568858	69107197	17563366
5353232	19213	92540251	17563366
12970253	3699123	45892787	17563366
11898296	11765264	111951209	17563366
7130131	14686497	115952791	17563366
7705096	11779557	71317403	17563366
11526616	2483437	60227669	17563366
10313384	16799275	65717611	17563366
3552072	13149760	175459033	17563366
7362942	10876253	110175203	17563366
2488120	13139566	162448393	17563366
9998495	16566579	110340473	17563366
4364026	5963280	70071359	17563366
5827831	1586336	156051353	17563366
13058327	8319425	21089777	17563366
3173643	9487393	135657869	17563366
6033896	11522147	102639781	17563366
8684532	17454315	102460321	17563366
11727554	14272800	91320703	17563366
3425132	16387673	136844363	17563366
3231734	11162552	68303359	17563366
3524330	4613396	123945923	17563366
9201652	13066091	113563847	17563366
6672205	4225489	64571393	17563366
13948243	2517477	111966661	17563366
690948	5889258	163134407	17563366
10787452	6115785	100875661	17563366
16876110	4765994	112657651	17563366
11015422	17074993	49171511	17563366
6065624	6411514	60903239	17563366
10049597	7854149	115371071	17563366
12528652	2313047	130201217	17563366
4191498	11969226	65097887	17563366
9032041	6360279	74619533	17563366
963437	3800790	99164437	17563366
675318	11171003	26483279	17563366
6979667	14274543	46629127	17563366
7430631	4110935	143391797	17563366
16562425	1847733	59957767	17563366
6060882	6121820	144803651	17563366
13745926	1569781	163194701	17563366
2633328	3461757	153299351	17563366
3030796	14218022	148927981	17563366
14194204	12445334	127166539	17563366
12664411	2696272	36556183	17563366
16548173	15926268	66558629	17563366
11337280	15876551	136861327	17563366
8307032	14264994	105559709	17563366
372197	7291041	91799689	17563366
6651293	597295	64529537	17563366
16254519	12783975	53292049	17563366
4584549	15775691	163752833	17563366
7307824	9768374	172641643	17563366
6233514	6143112	22899923	17563366
8329853	8606013	124304419	17563366
7938713	12281912	170237867	17563366
16822210	2348731	75033713	17563366
4910249	5849423	25255249	17563366
6509746	10268861	154567783	17563366
3847355	5336022	97030649	17563366
13065069	9947097	104419411	17563366
6388734	963057	107730473	17563366
8082320	4347712	157303043	17563366
12110069	3740351	59389937	17563366
1485890	2199262	68111921	17563366
657971	6432188	23235307	17563366
6520281	6086729	125337781	17563366
13222487	12587139	122175721	17563366
12105042	11289983	72705707	17563366
8081440	8664742	49627351	17563366
3786597	2677064	172100399	17563366
8337619	2464043	149674243	17563366
16494661	7213177	99464119	17563366
1862940	2406545	42885581	17563366
12843035	4016711	56172353	17563366
16879352	14452324	26010163	17563366
8042996	14348080	149253329	17563366
12438219	3636063	35878273	17563366
2732480	3831194	87082507	17563366
9704397	11603758	156386273	17563366
5850621	15148632	147589063	17563366
7765960	7938883	46877981	17563366
10721315	10327419	34509239	17563366
8650837	2930492	100098629	17563366
8051081	14584341	41598377	17563366
16485208	11532040	40305787	17563366
2555431	2842961	102102199	17563366
12470489	7460255	34368839	17563366
14090326	3810839	80297467	17563366
11915954	8056504	51687107	17563366
12910548	6786422	92605771	17563366
7324837	8896847	92997703	17563366
13522910	11008740	46903499	17563366
17307277	10675471	133086749	17563366
1280235	11865748	175129027	17563366
13229576	10795677	28323551	17563366
7437274	7408034	83636699	17563366
14504687	16971161	152264311	17563366
7847923	13039119	113186741	17563366
4758033	6630675	141071677	17563366
5638895	5547913	170475421	17563366
327082	7753225	164618903	17563366
12917738	9689758	153663073	17563366
11672328	14383251	140753611	17563366
2482595	9317233	64758493	17563366
9554903	6824308	163676011	17563366
63198	12265959	18587971	17563366
9857367	11677778	44571949	17563366
16903605	16574741	126082559	17563366
4567054	6553426	141592387	17563366
5602497	15274560	51815333	17563366
3211031	17080655	112137533	17563366
14710840	5868867	160676947	17563366
7133900	10803822	130813363	17563366
15045229	13918936	121159807	17563366
16789599	6575608	113184787	17563366
14726739	15827223	165307237	17563366
3740234	470016	100469933	17563366
14180522	9301312	141511339	17563366
9626595	9978311	38945197	17563366
9588746	5071982	126030929	17563366
8182873	8950490	147943183	17563366
2287006	11120970	88480253	17563366
8934203	1979167	25708663	17563366
9637720	5198712	123320719	17563366
3788485	12736092	41103053	17563366
16765355	6188137	88048841	17563366
1606285	6547915	163669601	17563366
1887333	5950596	170369911	17563366
4014092	6888772	120305459	17563366
14064138	9070655	131526001	17563366
5069897	13669287	50184461	17563366
9504031	5507540	143079137	17563366
1833188	9194402	165677893	17563366
9724416	3047511	148460789	17563366
17422047	511764	113944627	17563366
8998992	15688134	115832279	17563366
5677140	519604	26063483	17563366
7265119	2507292	166824101	17563366
1503998	10888098	75548887	17563366
8382940	3064904	88400267	17563366
5427244	8557522	72937171	17563366
15217060	16215028	73221769	17563366
12978360	8184065	151610813	17563366
7326298	15675645	60561173	17563366
13187597	10102900	128047687	17563366
8902997	6689488	131982989	17563366
15539906	11902444	120237163	17563366
11644448	9581861	121946021	17563366
7589156	10734862	143830079	17563366
11151532	16180764	89476609	17563366
3033573	4351748	163287409	17563366
2786543	14218265	20165143	17563366
16864562	11698875	159807337	17563366
15001548	9444340	36570133	17563366
9672477	13494297	84942607	17563366
16557755	5468334	124695889	17563366
6676183	10275180	58313923	17563366
4368400	16027936	40816471	17563366
6312180	10416386	99503099	17563366
7635790	13502931	30819479	17563366
9812177	1822978	68964859	17563366
8437111	9192784	75009743	17563366
9219429	10459628	79841659	17563366
6494016	14535074	132676741	17563366
16167112	15459470	148859693	17563366
14469606	15228488	96460697	17563366
11632161	8659178	52562221	17563366
3196180	5361342	115905539	17563366
3377264	13861174	163191307	17563366
9242620	4314539	79968439	17563366
5503637	2455917	35697923	17563366
7509832	13541147	52268473	17563366
5729784	4884654	93188731	17563366
13535377	11981686	43484783	17563366
5774212	1800830	146878183	17563366
17019175	3258227	132422999	17563366
7577659	4090033	151630321	17563366
16666503	2973924	75104629	17563366
11579844	8197726	57046609	17563366
9845080	34976	87245419	17563366
16342176	9193795	150535181	17563366
12372199	10564895	58310303	17563366
1631413	6162288	36340279	17563366
5476479	6999644	146345417	17563366
9660983	387021	147586961	17563366
14711475	13953645	85325131	17563366
752060	5782084	46949239	17563366
3076940	1599852	72195811	17563366
8639662	14757063	153781597	17563366
8117978	10620095	90605791	17563366
299168	940235	69619897	17563366
12983968	12697883	124247609	17563366
16838823	13313195	162845983	17563366
2135590	15814843	42180889	17563366
